,ID,Name,Location,Join Date,Reports To,Highest Qualification,Major,University,All Qualifications,Courses Taught,Major Teaching Field,Relevant Experience,Criteria
264,LT9020241,Ingrid Dehaan  ,Cambridge,19-May-14,Olu Ebenezer,Bachelor of Applied Science,Business Management,Sarah Women's College,"Bachelor of Applied Science (Business Management), Higher Diploma (Business and Gt (Hum Resources))",SD2263 - Socially Responsible Retailing US2913 - Sustaining Cultural Identity US4343 - Training and Development,Management,More than 5 years work experience,Industry and Teaching experience
265,LT9254486,Tiesha Sergi  ,Cambridge,09-Sep-12,Olu Ebenezer,Master of Arts,Economics,Clemson University,"Master of Arts (Economics), Bachelor (Political Science), Bachelor (Economics)",US2303 - Financial Management SS2103 - Personal Finance,More than 5 years work experience,US-2303_(Financial Management): 3 Course Credits,Industry and Teaching experience
266,LT9025733,Chi Bashir  ,Cambridge,03-Aug-08,Olu Ebenezer,Master of Business Administrator,Management,Alberto University,"Master of Business Administrator (Management), Bachelor of Business Admin. (Management Science)",US2303 - Financial Management US4113 - Financial Accounting I US1503 - Accounting for Managers,Finances,More than 5 years work experience,Industry and Teaching experience
267,LT9101464,Terrie Komar  ,Cambridge,02-Nov-14,Olu Ebenezer,Master of Business Administrator,Business Administration,Birth Institute of Tech & Sc.,Master of Business Administrator (Business Administration),SD2023 - Software Applications In US1003 - Management and Leadership,nan,nan,Industry and Teaching experience
268,LT9277043,Deandrea Laforest  ,Cambridge,18-Aug-13,Olu Ebenezer,Master of Business Administrator,Agricultural Economics,University of Guelph,"Bachelor (Sociology), Graduate Diploma (Management), Master of Business Administrator (Agricultural Economics)",SD2233 - Retail Marketing US3406 - Work Related Learning SD2067 - Business Work Placement SD1223 - Marketing Principles,Management,"More than 5 Years work experience, qualified security trader (Canadian Securities Institute)",Industry and Teaching experience
269,LT9216228,Theodore Zilnicki  ,Cambridge,30-Jan-11,Olu Ebenezer,Ph.D,Management,Birth Institute of Tech & Sc.,"Master of Business Administrator (Marketing), Bachelor (Commerce), Ph.D (Management)",US2203 - Business Stats for Managers US4363 - Managing Organizational Change,Human Resources Management,More than 5 years work experience,Industry and Teaching experience
270,LT9309277,Charlotte Lafortune  ,Cambridge,30-Mar-15,Olu Ebenezer,Master of Science,Occupational Psychology,University of London,"Ph.D (Psychology), Master of Science (Occupational Psychology)",US4333 - Recruitment and Selection US3903 - Contemporary Business US1403 - Business Ethics and Corporate,nan,nan,Industry and Teaching experience
271,LT9276996,Blanche Carolan  ,Cambridge,18-Aug-13,Olu Ebenezer,Master of Science,Energy Management,University of Ulster,"Master of Business Administrator (Business Administration), Master of Science (Energy Management)",US4583 - ISO Standards and Excellence US3103 - Internet Bus Globalization US2403 - Innovation and Entrepreneurship,Entrepreneurship and Project Management,More than 5 years work experience,Industry and Teaching experience
272,LT9258013,Sigrid Malveaux  ,Cambridge,19-Aug-14,Olu Ebenezer,Master of Science,Management,University of the Punjab,"Masters (Business Economics), Master of Science (Management)",US1203 - Software Apps for Business SS2013 - The World of Work,Business and Career Related Courses,More than 5 years work experience; Certified Train the Trainer,Industry and Teaching experience
273,LT9309285,Trista Mcmurry  ,Cambridge,01-Apr-15,Olu Ebenezer,Ph.D,Business Marketing,European University,"Ph.D (Business Marketing), Bachelor (Applied Mathematics), Masters (Marketing)",US3103 - Internet Bus Globalization US3203 - Start Gt Bus Simulation,nan,nan,Industry and Teaching experience
274,LT9328812,Nancie Deemer  ,Cambridge,09-Aug-15,Olu Ebenezer,Doctorate,nan,Arab Academy for Science and Technology and Maritime,nan,US3003 - Managing People andOrganisations US1303 - Marketing,nan,nan,Industry and Teaching experience
275,LT9255309,Codi Ebarb  ,Cambridge,14-Oct-12,Olu Ebenezer,Master of Business Administrator,Business Administration,University of Marks,"Higher Diploma (Computer Integrated Management), Post Graduate Certificate (Further Education and Training), Master of Business Administrator (Business Administration), Bachelor (Microbiology), Post Graduate Certificate (Education), Post Degree Certificate (Computerized Accounts)",US2003 - Business and Commercial Law SD2213 - Retail Customer Service SD1243 - Retail Operations,Management,More than 5 years work experience,Industry and Teaching experience
276,LT9157082,Jeanne Espinoza  ,Cambridge,02-Aug-09,Olu Ebenezer,Ph.D,Business Administration,Swiss Management Center,"Bachelor of Arts (Business studies), Ph.D (Business Administration), Master of Arts (Hospitality Management)",US3903 - Contemporary Business US1403 - Business Ethics and Corporate US1003 - Management and Leadership,Management,"CIA, TCM",Industry and Teaching experience
277,LT9307987,Bobbie Brazil  ,Cambridge,09-Aug-15,Olu Ebenezer,Doctorate,nan,University' degli Studi di Ferrara,"Ph.D (Economics), Masters (International Relation), Bachelor (Business Finance), A Level (Science Education)",nan,nan,nan,Industry and Teaching experience
